Manga ID,Manga URL,English Title,Synonims Titles,Japanese Title,Type,Volumes,Chapters,Status,Published,Published Dates,Genres,Author,Serialization,Score,Ranked,Popularity,Members,Favorites,Score Voted By
455,https://myanimelist.net/manga/36933/Ore_Monogatari,My Love Story!!,Oremonogatari,俺物語!!,Manga,13,52,Finished,"Dec  13, 2011 to Jul  13, 2016","{'from': '2011-12-13', 'to': '2016-07-13'}","['Comedy', 'Romance', 'Shoujo']","['Kawahara, Kazune (Story)', ' Aruko (Art)']",Bessatsu Margaret,8.14,458,431,21575,475,7265
456,https://myanimelist.net/manga/38105/Kase-san_Series,Unknown,"Asagao to Kase-san., Kase-san and Morning Glories, Obentou to Kase-san., Shortcake to Kase-san, Kase-san and an Apron, Sakura to Kase-san, Yamada to Kase-san",加瀬さんシリーズ,Manga,Unknown,Unknown,Publishing,"Aug  25, 2010 to ?","{'from': '2010-08-25', 'to': 'Unknown'}","['Romance', 'School', 'Shoujo', 'Shoujo']","['Takashima, Hiromi (Story & Art)']",Wings,8.14,459,508,19007,803,6616
457,https://myanimelist.net/manga/115922/Kage_no_Jitsuryokusha_ni_Naritakute,The Eminence in Shadow,Unknown,陰の実力者になりたくて！,Novel,Unknown,Unknown,Publishing,"Nov  5, 2018 to ?","{'from': '2018-11-05', 'to': 'Unknown'}","['Action', 'Comedy', 'Fantasy']","['Touzai (Art)', ' Aizawa, Daisuke (Story)']",None,8.14,455,5831,1894,117,499
458,https://myanimelist.net/manga/125036/The_Horizon,The Horizon,Unknown,수평선,Manhwa,3,21,Finished,"Mar  30, 2016 to Jul  21, 2016","{'from': '2016-03-30', 'to': '2016-07-21'}","['Adventure', 'Drama', 'Psychological']","['Jeong, Ji-Hoon (Story & Art)']",Comica,8.15,456,13941,555,31,219
459,https://myanimelist.net/manga/58007/Shingeki_no_Kyojin__Kuinaki_Sentaku,Attack on Titan: No Regrets,"Attack on Titan Side Story: A Choice with No Regrets, Shingeki no Kyojin: Birth of Levi, Shingeki no Kyojin Gaiden, The Birth of Rivaille",進撃の巨人 悔いなき選択,Manga,2,8,Finished,"Nov  28, 2013 to Jun  28, 2014","{'from': '2013-11-28', 'to': '2014-06-28'}","['Action', 'Fantasy', 'Shoujo', 'Supernatural']","['Suruga, Hikaru (Art)', ' Sunaaku, Gan (Story)']",ARIA,8.14,460,276,32038,990,17052
460,https://myanimelist.net/manga/62795/Tomodachi_Game,Unknown,Friend Game,トモダチゲーム,Manga,Unknown,Unknown,Publishing,"Dec  9, 2013 to ?","{'from': '2013-12-09', 'to': 'Unknown'}","['Game', 'Shounen', 'Psychological']","['Yamaguchi, Mikoto (Story)', ' Satou, Yuuki (Art)']",Bessatsu Shounen Magazine,8.14,461,994,10907,411,2975
461,https://myanimelist.net/manga/339/Sakigake_Cromartie_Koukou,Cromartie High School,Unknown,魁!! クロマティ高校,Manga,17,335,Finished,"Jul  19, 2000 to May  17, 2006","{'from': '2000-07-19', 'to': '2006-05-17'}","['Comedy', 'Shounen']","['Nonaka, Eiji (Story & Art)']",Shounen Magazine (Weekly),8.14,462,1171,9501,315,2825
462,https://myanimelist.net/manga/393/Kindaichi_Shounen_no_Jikenbo__File_Series,The Kindaichi Case Files,Kindaichi Shonen no Jikenbo,金田一少年の事件簿,Manga,27,219,Finished,"Oct  14, 1992 to Oct  22, 1997","{'from': '1992-10-14', 'to': '1997-10-22'}","['Mystery', 'Drama', 'Shounen', 'Supernatural', 'Psychological']","['Kibayashi, Shin (Story)', ' Kanari, Youzaburou (Story)', ' Satou, Fumiya (Art)']",Shounen Magazine (Weekly),8.14,463,2904,4026,155,1430
463,https://myanimelist.net/manga/648/Dogs__Bullets___Carnage,Dogs: Bullets & Carnage,"Dogs: Bullets and Carnage, Dogs: Hardcore Twins, Dogs Hardcore Twins",DOGS / BULLETS & CARNAGE,Manga,Unknown,Unknown,Publishing,"Jun  18, 2005 to ?","{'from': '2005-06-18', 'to': 'Unknown'}","['Action', 'Drama', 'Seinen']","['Miwa, Shirow (Story & Art)']",Ultra Jump,8.14,464,356,26450,1841,8032
464,https://myanimelist.net/manga/770/Gunnm__Last_Order,Battle Angel Alita: Last Order,Unknown,銃夢 Last Order,Manga,19,124,Finished,"Jul  19, 2001 to Jan  28, 2014","{'from': '2001-07-19', 'to': '2014-01-28'}","['Action', 'Drama', 'Martial', 'Martial', 'Sci', 'Sci', 'Seinen']","['Kishiro, Yukito (Story & Art)']",Ultra Jump,8.14,465,657,15535,629,5846
465,https://myanimelist.net/manga/375/Initial_D,Initial D,Kashiramoji D,頭文字D,Manga,48,724,Finished,"Jun  26, 1995 to Jul  29, 2013","{'from': '1995-06-26', 'to': '2013-07-29'}","['Action', 'Cars', 'Drama', 'Sports', 'Seinen']","['Shigeno, Shuuichi (Story & Art)']",Young Magazine (Weekly),8.13,466,745,13947,989,5293
466,https://myanimelist.net/manga/1092/Gokusen,Unknown,Gangster Teacher,ごくせん,Manga,15,156,Finished,"Dec  15, 1999 to Feb  15, 2007","{'from': '1999-12-15', 'to': '2007-02-15'}","['Action', 'Comedy', 'Romance', 'School', 'Slice', 'Slice', 'Josei']","['Morimoto, Kozueko (Story & Art)']",YOU,8.13,467,905,11899,383,5380
467,https://myanimelist.net/manga/1260/Higurashi_no_Naku_Koro_ni__Tatarigoroshi-hen,Higurashi WHEN THEY CRY: Curse Killing Arc,Higurashi no Naku Koro ni Tatarigoroshihen,ひぐらしのなく頃に 祟殺し編,Manga,2,13,Finished,"May  18, 2005 to May  18, 2006","{'from': '2005-05-18', 'to': '2006-05-18'}","['Mystery', 'Drama', 'Horror', 'Shounen', 'Supernatural', 'Psychological']","['Suzuki, Jirou (Art)', ' Ryukishi07 (Story)']",GFantasy,8.13,468,1140,9702,112,4622
468,https://myanimelist.net/manga/4453/Hitsugikatsugi_no_Kuro__Kaichu_Tabi_no_Wa,Shoulder-a-Coffin Kuro,Shouldering a Coffin,棺担ぎのクロ。～懐中旅話～,Manga,7,86,Finished,"Dec  9, 2004 to May  10, 2018","{'from': '2004-12-09', 'to': '2018-05-10'}","['Adventure', 'Fantasy']","['Kiyuzuki, Satoko (Story & Art)']",Manga Time Kirara,8.13,469,3442,3369,129,727
469,https://myanimelist.net/manga/10000/Bungaku_Shoujo_Series,Book Girl,"Literature Girl, Book Girl and the Suicidal Mime, Book Girl and the Famished Spirit",“文学少女”シリーズ,Novel,8,74,Finished,"Apr  28, 2006 to Aug  30, 2008","{'from': '2006-04-28', 'to': '2008-08-30'}","['Mystery', 'Drama', 'Romance']","['Nomura, Mizuki (Story)', ' Takeoka, Miho (Art)']",None,8.13,470,2316,5026,178,1093
470,https://myanimelist.net/manga/79993/Umineko_no_Naku_Koro_ni_Chiru,Unknown,Unknown,うみねこのなく頃に 散,Novel,7,Unknown,Finished,"Jul  13, 2012 to Sep  30, 2018","{'from': '2012-07-13', 'to': '2018-09-30'}","['Mystery', 'Fantasy', 'Horror', 'Supernatural', 'Psychological', 'Thriller']","['Ryukishi07 (Story)', ' Tomohi (Art)']",None,8.13,478,4982,2265,118,614
471,https://myanimelist.net/manga/19980/Koi_dano_Ai_dano,Unknown,"Like and Love and, Koi da no Ai da no, Futsuu Hyakkei",恋だの愛だの,Manga,11,46,Finished,"Oct  10, 2009 to Apr  9, 2016","{'from': '2009-10-10', 'to': '2016-04-09'}","['Comedy', 'Romance', 'School', 'Shoujo']","['Tsujita, Ririko (Story & Art)']",LaLa DX,8.13,473,1162,9543,221,3576
472,https://myanimelist.net/manga/23419/Byousoku_5_Centimeter,5 Centimeters Per Second,5 cm per second - a chain of short stories about their distance,秒速5センチメートル,Manga,2,11,Finished,"May  25, 2010 to Mar  25, 2011","{'from': '2010-05-25', 'to': '2011-03-25'}","['Drama', 'Romance', 'Seinen']","['Shinkai, Makoto (Story)', ' Seike, Yukiko (Art)']",Afternoon,8.13,474,451,20775,738,10527
473,https://myanimelist.net/manga/24903/Gangsta,Gangsta.,Unknown,GANGSTA.,Manga,Unknown,Unknown,Publishing,"Jan  21, 2011 to ?","{'from': '2011-01-21', 'to': 'Unknown'}","['Action', 'Drama', 'Seinen']",['Kohske (Story & Art)'],Comic@Bunch,8.13,475,204,40285,2027,12126
474,https://myanimelist.net/manga/30051/Sakurasou_no_Pet_na_Kanojo,Unknown,Sakura-sou no Pet na Kanojo,さくら荘のペットな彼女,Novel,13,Unknown,Finished,"Jan  10, 2010 to Mar  8, 2014","{'from': '2010-01-10', 'to': '2014-03-08'}","['Comedy', 'Romance', 'Slice', 'Slice']","['Kamoshida, Hajime (Story)', ' Mizoguchi, Keiji (Art)']",None,8.13,476,1122,9875,319,2121
475,https://myanimelist.net/manga/46024/Log_Horizon,Log Horizon,Unknown,ログ・ホライズン,Novel,Unknown,Unknown,Publishing,"Apr  13, 2010 to ?","{'from': '2010-04-13', 'to': 'Unknown'}","['Action', 'Adventure', 'Fantasy', 'Magic', 'Sci', 'Sci']","['Touno, Mamare (Story)', ' Hara, Kazuhiro (Art)']",None,8.13,477,1131,9790,244,1876
476,https://myanimelist.net/manga/98578/Kanata_no_Astra,Astra Lost in Space,Unknown,彼方のアストラ,Manga,5,49,Finished,"May  9, 2016 to Dec  30, 2017","{'from': '2016-05-09', 'to': '2017-12-30'}","['Action', 'Sci', 'Sci', 'Shounen', 'Space']","['Shinohara, Kenta (Story & Art)']",Shounen Jump+,8.13,471,1315,8509,246,3371
477,https://myanimelist.net/manga/108566/Machikado_Mazoku,Unknown,Unknown,まちカドまぞく,Manga,Unknown,Unknown,Publishing,"Jun  28, 2014 to ?","{'from': '2014-06-28', 'to': 'Unknown'}","['Comedy', 'Magic', 'Slice', 'Slice']","['Ito, Izumo (Story & Art)']",Manga Time Kirara Carat,8.13,472,4065,2865,132,599
